分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数,クラスター,クラスター名,主成分1,主成分2
2026発泡酒,山口市,12.0,966.0,1024.0,58.0,6.71,73.85,0.8,0,上昇型_低価格帯_直線性高,0.8058819886023134,0.806613840580748
2026発泡酒,山形市,12.0,925.0,992.0,67.0,3.28,36.04,0.1,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.8630301014406732,-0.9785458671481371
2026発泡酒,岐阜市,12.0,896.0,951.0,55.0,4.68,51.5,0.38,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.1303083525623996,-0.34884896542618965
2026発泡酒,岡山市,12.0,933.0,958.0,25.0,3.3,36.35,0.36,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.36958798611827953,-0.33301144648025094
2026発泡酒,川口市,12.0,933.0,948.0,15.0,3.21,35.31,0.18,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.7270581624346131,-0.769864264828251
2026発泡酒,川崎市,12.0,913.0,962.0,49.0,5.62,61.81,0.49,0,上昇型_低価格帯_直線性高,0.16110064335278532,-0.04738042413574977
2026発泡酒,広島市,12.0,904.0,937.0,33.0,3.78,41.58,0.38,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.23909721150886154,-0.33689294583668283
2026発泡酒,府中市,12.0,932.0,943.0,11.0,0.92,10.15,0.02,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.283702333623701,-1.1672242556775292
2026発泡酒,徳島市,12.0,978.0,1063.0,85.0,9.87,108.54,0.76,0,上昇型_低価格帯_直線性高,1.055741633950912,0.7421992745306857
2026発泡酒,所沢市,12.0,918.0,988.0,70.0,7.27,79.92,0.53,0,上昇型_低価格帯_直線性高,0.41090393251458057,0.06429965453597498
2026発泡酒,新潟市,12.0,895.0,958.0,63.0,5.49,60.35,0.59,0,上昇型_低価格帯_直線性高,0.36475266686724434,0.1612447344629064
2026発泡酒,日立市,12.0,914.0,977.0,63.0,5.87,64.54,0.35,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.08351091394891048,-0.38425401316786
2026発泡酒,旭川市,12.0,926.0,960.0,34.0,3.17,34.88,0.46,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.18098533923462004,-0.10392288937963735
2026発泡酒,札幌市,12.0,916.0,963.0,47.0,4.61,50.73,0.59,0,上昇型_低価格帯_直線性高,0.24035248894370545,0.19744980273155685
2026発泡酒,東京都区部,12.0,926.0,993.0,67.0,6.85,75.31,0.56,0,上昇型_低価格帯_直線性高,0.41224609613039426,0.15057647740842667
2026発泡酒,東大阪市,12.0,915.0,984.0,69.0,8.2,90.19,0.65,0,上昇型_低価格帯_直線性高,0.7479041546719781,0.3527828435504758
2026発泡酒,松山市,12.0,873.0,936.0,63.0,7.57,83.23,0.39,1,横ばい・緩やか変動型_低価格帯_変動あり,0.23466190190817118,-0.35798556574406243
2026発泡酒,松本市,12.0,894.0,947.0,53.0,5.7,62.65,0.55,0,上昇型_低価格帯_直線性高,0.3116875164839782,0.06305389250985484
2026発泡酒,松江市,12.0,944.0,1013.0,69.0,6.05,66.54,0.68,0,上昇型_低価格帯_直線性高,0.5324380524794062,0.4725008633126465
2026発泡酒,松阪市,12.0,877.0,958.0,81.0,6.54,71.92,0.36,1,横ばい・緩やか変動型_低価格帯_変動あり,0.059264910121506184,-0.4266535205709517
2026発泡酒,枚方市,12.0,900.0,991.0,91.0,7.92,87.08,0.73,0,上昇型_低価格帯_直線性高,0.8925127386104591,0.5179945011004584
2026発泡酒,柏市,12.0,883.0,931.0,48.0,5.29,58.19,0.39,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.0268904559007861,-0.34679615471913866
2026発泡酒,横浜市,12.0,904.0,984.0,80.0,8.12,89.27,0.5,0,上昇型_低価格帯_直線性高,0.464518140718275,-0.03174082830841649
2026発泡酒,水戸市,12.0,865.0,921.0,56.0,5.32,58.54,0.48,0,上昇型_低価格帯_直線性高,0.174840153963288,-0.16190408093096445
2026発泡酒,津市,12.0,947.0,1024.0,77.0,7.03,77.38,0.6,0,上昇型_低価格帯_直線性高,0.4803477485780882,0.28724162767686756
2026発泡酒,浜松市,12.0,911.0,955.0,44.0,5.01,55.08,0.42,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.03769063959844085,-0.22285792687804232
2026発泡酒,浦安市,12.0,918.0,976.0,58.0,9.21,101.31,0.55,0,上昇型_低価格帯_直線性高,0.660443558191531,0.1191144704115095
2026発泡酒,熊本市,12.0,968.0,1021.0,53.0,5.13,56.38,0.85,0,上昇型_低価格帯_直線性高,0.7279547964986929,0.9264636241007613
2026発泡酒,熊谷市,12.0,945.0,989.0,44.0,4.15,45.69,0.57,0,上昇型_低価格帯_直線性高,0.11203602228451914,0.20139633435572832
2026発泡酒,甲府市,12.0,922.0,981.0,59.0,6.42,70.62,0.59,0,上昇型_低価格帯_直線性高,0.42891860755014605,0.21449707669032764
2026発泡酒,盛岡市,12.0,919.0,972.0,53.0,6.01,66.08,0.58,0,上昇型_低価格帯_直線性高,0.3691337927629216,0.18332964538509797
2026発泡酒,相模原市,12.0,906.0,954.0,48.0,4.98,54.77,0.34,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.18863849380042283,-0.426283763672456
2026発泡酒,神戸市,12.0,924.0,965.0,41.0,5.55,61.04,0.58,0,上昇型_低価格帯_直線性高,0.3122840841663202,0.19113544800070498
2026発泡酒,福井市,12.0,903.0,963.0,60.0,4.25,46.77,0.26,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.41842337655702294,-0.6282651119283078
2026発泡酒,福山市,12.0,914.0,995.0,81.0,7.21,79.31,0.5,0,上昇型_低価格帯_直線性高,0.3519058775001883,-0.01609670694333267
2026発泡酒,福岡市,12.0,889.0,969.0,80.0,6.91,76.04,0.45,1,横ばい・緩やか変動型_低価格帯_変動あり,0.25691500069188383,-0.1848466295895031
2026発泡酒,福島市,12.0,899.0,953.0,54.0,5.12,56.35,0.5,0,上昇型_低価格帯_直線性高,0.14521257392479467,-0.05079721324296784
2026発泡酒,秋田市,12.0,919.0,984.0,65.0,6.58,72.35,0.69,0,上昇型_低価格帯_直線性高,0.643576219119147,0.4519698374920584
2026発泡酒,立川市,12.0,953.0,999.0,46.0,3.87,42.62,0.25,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.5474573622763887,-0.5607386202315884
2026発泡酒,藤沢市,12.0,907.0,940.0,33.0,1.31,14.38,0.02,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.2071001998878204,-1.2124638503246925
2026発泡酒,西宮市,12.0,935.0,1031.0,96.0,8.97,98.69,0.79,0,上昇型_低価格帯_直線性高,1.0746747893221453,0.7320395662864949
2026発泡酒,豊橋市,12.0,914.0,966.0,52.0,5.73,63.08,0.35,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.09873106960053225,-0.38470923904203697
2026発泡酒,那覇市,12.0,939.0,1020.0,81.0,6.88,75.65,0.59,0,上昇型_低価格帯_直線性高,0.4556695628851482,0.24761807107863523
2026発泡酒,郡山市,12.0,910.0,972.0,62.0,5.54,60.92,0.53,0,上昇型_低価格帯_直線性高,0.23377129600557567,0.043791891738715664
2026発泡酒,金沢市,12.0,911.0,959.0,48.0,4.93,54.19,0.44,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.007756116894890831,-0.17461137004420366
2026発泡酒,長岡市,12.0,896.0,940.0,44.0,4.3,47.27,0.35,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.2295678353735168,-0.4228446073704367
2026発泡酒,長崎市,12.0,915.0,985.0,70.0,6.65,73.12,0.59,0,上昇型_低価格帯_直線性高,0.46350002501559207,0.20222278508626884
2026発泡酒,長野市,12.0,919.0,985.0,66.0,6.15,67.62,0.52,0,上昇型_低価格帯_直線性高,0.2684586849011132,0.03826481354488438
2026発泡酒,青森市,12.0,914.0,964.0,50.0,6.4,70.38,0.6,0,上昇型_低価格帯_直線性高,0.45700517803818885,0.2238029157371994
2026発泡酒,静岡市,12.0,914.0,975.0,61.0,6.24,68.65,0.61,0,上昇型_低価格帯_直線性高,0.4589265916885737,0.24753600054768135
2026発泡酒,高松市,12.0,859.0,922.0,63.0,8.06,88.69,0.3,1,横ばい・緩やか変動型_低価格帯_変動あり,0.13324330349426516,-0.6007166871221566
2026発泡酒,高知市,12.0,899.0,965.0,66.0,7.14,78.5,0.51,0,上昇型_低価格帯_直線性高,0.38413355415043343,-0.01997561124887356
2026発泡酒,鳥取市,12.0,936.0,997.0,61.0,6.41,70.46,0.69,0,上昇型_低価格帯_直線性高,0.6018364740218509,0.4830423154465697
2026発泡酒,鹿児島市,12.0,858.0,912.0,54.0,5.37,59.04,0.52,0,上昇型_低価格帯_直線性高,0.26711630888560234,-0.07775029113508543
2027ビール風アルコール飲料,さいたま市,12.0,859.0,902.0,43.0,5.97,65.69,0.55,0,上昇型_低価格帯_直線性高,0.3889250540010137,-0.0011789852909797715
2027ビール風アルコール飲料,京都市,12.0,874.0,896.0,22.0,6.08,66.92,0.29,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.12185093805472784,-0.603503590259921
2027ビール風アルコール飲料,今治市,12.0,849.0,877.0,28.0,3.47,38.19,0.12,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6997649101416528,-1.070804855258792
2027ビール風アルコール飲料,仙台市,12.0,842.0,877.0,35.0,3.86,42.42,0.26,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.3773667475430159,-0.7430120873873561
